,placeId,0,1,3,4,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,placeLatitude,placeLongitude
88,d434ec28fbb6451a,,,,,,,,,,"{'#sherlock': 1, '#newyearrocks': 61, '#winterclassic': 3}","{'#awesome': 2, '#winterclassic': 3, '#sherlocklives': 1, '#newyearrocks': 49}","{'#happynewyear': 1, '#winterclassic': 1, '#nhl': 1, '#newyearrocks': 54}","{'#awesome': 1, '#happynewyear': 2, '#newyearrocks': 70, '#sherlocklives': 3, '#winterclassic': 4}","{'#sherlock': 2, '#amazing': 1, '#hgtvnewyear': 1, '#sherlocklives': 1, '#newyearrocks': 71}","{'#awesome': 2, '#seaofblue': 1, '#newyearrocks': 50, '#happynewyear': 2, '#2014': 3, '#winterclassic': 1, '#sherlocklives': 2}","{'#winterclassic': 1, '#sherlocklives': 1, '#newyearrocks': 19}",,,,46.7272,6.75557
89,d630bd8c9ce6e3c8,,,,,,,,,,"{'#sherlock': 1, '#hgtvnewyear': 2, '#winterclassic': 2, '#seaofblue': 1, '#newyearrocks': 95}","{'#2014': 1, '#newyearrocks': 73, '#justloveit': 1, '#winterclassic': 1}","{'#winterclassic': 1, '#newyearrocks': 58}","{'#awesome': 1, '#sherlock': 1, '#amazing': 1, '#winterclassic': 1, '#newyearrocks': 70}","{'#awesome': 1, '#sherlock': 1, '#sherlocklives': 1, '#newyearrocks': 90, '#happynewyear': 2, '#winterclassic': 2, '#2014': 2, '#amazing': 1, '#nhl': 1}","{'#2014': 1, '#newyearrocks': 46}","{'#winterclassic': 1, '#seaofblue': 1, '#hgtvnewyear': 1, '#sherlocklives': 1, '#newyearrocks': 22}",,,{'#justloveit': 1},47.2764,8.72689
90,d634e9b0a9802b08,,,,,,,,,,,,{'#2014': 1},,,,,,,,46.1893,6.24786
91,d969dab4efecff93,,,,,,,,,,,,,,,,,,{'#sherlock': 1},,47.7525,7.325539999999999
92,ddcca24ee29ddff2,,,,,,,,,,"{'#2014': 1, '#newyearrocks': 2}",,,,,,,,,,46.1795,6.14126
93,e05f924dfaa5f5b5,,,,,,,,,,,,,,,,,,"{'#happynewyear': 1, '#2014': 1}",,46.1805,9.6468
94,e541014f5173555a,,,,,,,,,,,,,,,,,,{'#sherlock': 1},,45.8062,10.0391
95,e58fd315772ce063,,,,,,,,,,,,,,,,{'#2014': 1},,,,45.8134,8.38236
96,e89dcbdcde478d67,,,,,,,,,,{'#newyearrocks': 1},,,,,,,,,,47.4747,9.37045
97,ebbaaa974b062937,,,,,,,,,{'#justloveit': 1},"{'#awesome': 1, '#sherlock': 1, '#winterclassic': 1, '#2014': 1, '#newyearrocks': 82, '#sherlocklives': 2}","{'#awesome': 1, '#sherlock': 1, '#seaofblue': 1, '#newyearrocks': 57, '#happynewyear': 1, '#justloveit': 3}","{'#sherlock': 1, '#seaofblue': 1, '#winterclassic': 1, '#newyearrocks': 65}","{'#newyearrocks': 66, '#winterclassic': 2}","{'#happynewyear': 1, '#2014': 3, '#winterclassic': 1, '#sherlocklives': 1, '#newyearrocks': 93}","{'#sherlock': 2, '#sherlocklives': 1, '#newyearrocks': 55}","{'#awesome': 1, '#hgtvnewyear': 1, '#newyearrocks': 22}",,{'#justloveit': 1},{'#justloveit': 1},47.5518,9.16474
98,ed643913fb3cab42,,,,,,,,,,{'#2014': 1},,,,,,,,,,46.6844,7.85768
99,ee3f5e5627afb978,,,,,,{'#2014': 1},,,,,,,,,,,,,,45.9537,9.496139999999999
100,f0fa06ecba19db29,,,,,,,,,{'#justloveit': 1},"{'#awesome': 1, '#winterclassic': 3, '#newyearrocks': 99, '#sherlocklives': 1, '#amazing': 1}","{'#awesome': 1, '#happynewyear': 2, '#winterclassic': 3, '#newyearrocks': 58}","{'#winterclassic': 3, '#newyearrocks': 58}","{'#awesome': 1, '#sherlocklives': 1, '#newyearrocks': 69, '#happynewyear': 1, '#2014': 1, '#winterclassic': 2, '#nhl': 1}","{'#awesome': 2, '#sherlock': 1, '#amazing': 1, '#winterclassic': 3, '#happynewyear': 1, '#2014': 1, '#newyearrocks': 85}",{'#newyearrocks': 47},"{'#happynewyear': 1, '#newyearrocks': 19}",{'#justloveit': 1},,,46.8355,6.89283
101,f1993d4a5654aea2,,,,,,,,,,{'#newyearrocks': 1},,,,,,,,,,46.3592,6.92744
102,f2446ed730eca93e,,,,,,,,,{'#justloveit': 1},,,,,,,,,,,46.7932,6.85699
103,f2e7e4fdc8cb8f49,,,,,,,,,"{'#happynewyear': 1, '#2014': 1}",{'#2014': 1},,,,,,,,,,45.8314,6.951039999999999
104,f4ba724a1a8b4ab5,,,,,,,,,{'#justloveit': 1},"{'#awesome': 2, '#sherlock': 2, '#hgtvnewyear': 1, '#justloveit': 1, '#nhl': 1, '#newyearrocks': 103, '#winterclassic': 1, '#amazing': 1, '#sherlocklives': 1}","{'#awesome': 1, '#sherlock': 2, '#winterclassic': 1, '#newyearrocks': 63}","{'#sherlock': 3, '#winterclassic': 3, '#hgtvnewyear': 1, '#sherlocklives': 1, '#newyearrocks': 56}","{'#winterclassic': 2, '#nhl': 1, '#newyearrocks': 71}","{'#happynewyear': 1, '#winterclassic': 4, '#nhl': 1, '#newyearrocks': 94}","{'#awesome': 1, '#sherlock': 1, '#2014': 1, '#winterclassic': 2, '#newyearrocks': 63}","{'#newyearrocks': 15, '#hgtvnewyear': 1, '#winterclassic': 1}",{'#justloveit': 1},,{'#justloveit': 2},47.1625,7.64629
105,faa0e3af340f3878,,,,,,,,,{'#justloveit': 2},"{'#sherlock': 1, '#seaofblue': 1, '#winterclassic': 2, '#sherlocklives': 1, '#newyearrocks': 76}","{'#happynewyear': 2, '#sherlock': 3, '#winterclassic': 2, '#nhl': 2, '#newyearrocks': 66}","{'#sherlocklives': 3, '#newyearrocks': 54}","{'#awesome': 1, '#winterclassic': 1, '#newyearrocks': 75}","{'#winterclassic': 2, '#seaofblue': 1, '#justloveit': 3, '#nhl': 1, '#newyearrocks': 98}",{'#newyearrocks': 38},"{'#awesome': 1, '#newyearrocks': 19}",{'#justloveit': 2},,,47.1259,8.314589999999999
106,fb499cd9568448fc,,,,,,,,,,"{'#2014': 1, '#winterclassic': 1, '#sherlocklives': 2, '#newyearrocks': 102}","{'#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 56}","{'#sherlock': 1, '#justloveit': 1, '#newyearrocks': 60}","{'#awesome': 1, '#newyearrocks': 68}","{'#sherlock': 2, '#hgtvnewyear': 1, '#justloveit': 1, '#sherlocklives': 3, '#amazing': 1, '#winterclassic': 1, '#2014': 1, '#newyearrocks': 96, '#seaofblue': 1, '#nhl': 1}","{'#2014': 1, '#winterclassic': 2, '#justloveit': 1, '#newyearrocks': 29}",{'#newyearrocks': 17},,,,46.2531,6.27061
107,fb64f03ca05c9c4d,,,,,,,,,,{'#newyearrocks': 1},,,,,,,,,,47.1925,8.64274
108,fc58a3476b706856,,,,,,,,,,"{'#awesome': 2, '#sherlock': 1, '#seaofblue': 1, '#newyearrocks': 125, '#happynewyear': 1, '#2014': 1, '#winterclassic': 2, '#sherlocklives': 1}","{'#sherlock': 1, '#seaofblue': 1, '#amazing': 1, '#newyearrocks': 90, '#winterclassic': 5, '#sherlocklives': 1}","{'#sherlock': 1, '#newyearrocks': 68}","{'#awesome': 1, '#sherlock': 1, '#amazing': 1, '#newyearrocks': 100, '#winterclassic': 3, '#sherlocklives': 2}","{'#awesome': 1, '#sherlock': 3, '#winterclassic': 1, '#sherlocklives': 1, '#newyearrocks': 129}","{'#justloveit': 1, '#sherlocklives': 1, '#newyearrocks': 44}","{'#awesome': 2, '#2014': 1, '#newyearrocks': 31, '#sherlocklives': 1, '#winterclassic': 2}",,{'#justloveit': 1},,47.7258,8.63805
109,ff8ee52edf03e6bd,,,,,,,,,{'#justloveit': 1},"{'#awesome': 1, '#sherlock': 2, '#happynewyear': 1, '#sherlocklives': 1, '#newyearrocks': 82}","{'#sherlock': 1, '#2014': 1, '#winterclassic': 1, '#newyearrocks': 65}","{'#happynewyear': 1, '#hgtvnewyear': 1, '#justloveit': 1, '#newyearrocks': 43}","{'#winterclassic': 1, '#sherlocklives': 1, '#newyearrocks': 56}","{'#sherlock': 2, '#hgtvnewyear': 1, '#winterclassic': 2, '#nhl': 1, '#newyearrocks': 84}","{'#2014': 1, '#winterclassic': 1, '#justloveit': 1, '#newyearrocks': 45}","{'#awesome': 1, '#happynewyear': 1, '#winterclassic': 2, '#newyearrocks': 25}",{'#justloveit': 2},,{'#justloveit': 1},46.0509,9.19546
