date,1,2,3,4,5
2015-01-30,"('jobs', 673.2043696838906)",,,,
2015-02-08,,,,,
2015-02-09,"('swissleaks', 104839.3280480258)","('isola', 78138.244459907874)","('amici14', 46743.793108103753)","('tedxlausanne', 42782.675260568692)","('apoilgilou', 3540.25)"
2015-02-10,"('sanremo2015', 7475919.4144500196)","('festivaldisanremo', 76412.411313610501)","('adp2015', 57052.0871177632)","('amici14', 5416.4746395144639)","('derbestatter', 2806.6405048862566)"
2015-02-11,"('sanremo2015', 152322.97194366521)","('adp2015', 49145.025973820979)","('festivaldisanremo', 40796.081806291775)","('uominiedonne', 5626.6941749310572)","('amici14', 5293.1363973060907)"
2015-02-12,"('tvshowtime', 256047.64605034122)","('davidtennant', 101768.5776384833)","('tvshow', 66635.613954279208)","('tvseries', 65458.844190248397)","('mattsmith', 54189.649832644442)"
2015-02-13,"('sanremo2015', 45289.646037307641)","('festivaldisanremo', 17949.864800188665)","('srfski', 12908.189722927946)","('adp2015', 5258.4460098447889)","('quartogrado', 1178.4574403468698)"
2015-02-14,"('fcsmasnl', 4212741.0033556512)","('özgecanaslan', 481591.99037376116)","('askandrea', 468055.00117088208)","('sanremo2015', 43141.927838676602)","('festivaldisanremo', 19602.793635285307)"
2015-02-15,"('brits2015', 79446.639145278095)","('srfski', 8482.0454836711197)","('sanremo2015', 2934.1939056991114)","('congratsniallandmelissa', 1122.25)","('britritaora', 930.25)"
2015-02-16,"('marcusmondays', 5528580.7798909778)","('hrct2015', 2836702.5252437019)","('britritaora', 236429.40661744782)","('brits2015', 172181.31456796257)","('50factsaboutme', 90991.834574789653)"
2015-02-17,"('britritaora', 2619629.6171692712)","('brits2015', 1841991.4318350931)","('lcf2015', 15215.831902270933)","('hrct2015', 15172.884437178223)","('psgche', 14358.028918264721)"
2015-02-18,"('britritaora', 412999.4404406306)","('britaritaora', 199905.90753283005)","('brits2015', 191594.17846455888)","('soloshow', 143582.09921891315)","('savethedate', 30407.977619250676)"
2015-02-19,"('celticinter', 623380.34898485278)","('efc', 34003.200773377619)","('masterchefit', 1777.316771542153)","('bscvefc', 930.25)","('tbt', 391.8375551502906)"
2015-02-20,"('handwritteninspirations', 11737752.91211975)","('britonedirection', 1479691.810918926)","('britondirection', 506663.34580492461)","('bienchen', 256286.59171703903)","('britsondirection', 32942.25)"
2015-02-21,"('expo2015ch', 897771.4768956058)","('votesami', 53815.806407562835)","('abbattiamolemontagne', 49467.989394860269)","('bienchen', 17836.408188861838)","('cepostaperte', 5955.7571943038029)"
2015-02-22,"('muyprontograndirectioner3', 937992.25)","('kca2015', 604020.0313334188)","('votesami', 199295.79651826873)","('oscars2015', 109284.06362228928)","('vote1duk', 60544.629314560552)"
2015-02-23,"('frantasticmonday', 2422916.1225894853)","('cagliariinter', 905720.25327425101)","('oscars2015', 538859.35720580665)","('oscars', 20305.987545110074)","('isola', 18765.45523541357)"
