date,place_value,placeLatitude,placeLongitude,topic,chi_squared
2015-05-04,31.0,47.0881,8.281080000000001,asktokiohotel,237425.15243869257
2015-05-05,33.0,47.0881,8.281080000000001,juvrma,307540.5667906496
2015-05-06,57.0,47.5452,9.29357,acie15,423736.56294201536
2015-05-07,22.0,47.5633,7.50904,45sgs,4069884.996951303
2015-05-08,22.0,45.9881,9.21262,whereareünow,1153182.5900656837
2015-05-09,95.0,47.3792,8.08434,stars80,319228.1530053805
2015-05-10,19.0,47.3774,8.536760000000001,suican,541488.1382336096
2015-05-11,20.0,47.2487,8.58417,upr22,104101.97808254915
2015-05-12,184.0,46.8759,6.31152,klimafrokost,667544.8535848348
2015-05-13,21.0,47.4906,6.741960000000001,realjuve,79867.57544720975
2015-05-14,184.0,47.5452,9.29357,gntmfinale,45140.75000778389
2015-05-15,16.0,47.7975,6.30934,fantasybasel,122685.47457183072
2015-05-16,23.0,47.3774,8.536760000000001,arianacometoswitzerland,1094932.117901242
2015-05-17,65.0,47.5596,7.583139999999999,wewantanother1dday,4756903.188821088
2015-05-18,108.0,46.2048,6.14319,motavatormonday,28174131.376481082
2015-05-19,44.0,46.2048,6.14319,esf15,1303155.982100064
2015-05-20,167.0,46.2048,6.14319,delinkage,370704.5427248221
2015-05-21,29.0,47.5837,7.773560000000001,abilitatitfa,3529799.5836537294
2015-05-22,89.0,46.2048,6.14319,seocamp,1244441.880522357
2015-05-23,54.0,47.6684,9.47092,1dformmva,46785456.99423575
2015-05-24,70.0,46.2302,7.365419999999999,justinformmva,662286.5175204106
2015-05-25,38.0,46.2048,6.14319,wps,249732.51729263857
2015-05-26,21.0,46.2048,6.14319,theisland,529123.4794507503
2015-05-27,70.0,47.3774,8.536760000000001,deborahiuratovinceamici13,100806.25
2015-05-28,53.0,47.3774,8.536760000000001,teenchoice,6563926.219896359
2015-05-29,33.0,47.2063,7.562530000000001,fifacongress,1895019.1410922771
2015-05-30,103.0,46.0678,8.65519,iautrail,388123.58981864894
2015-05-31,118.0,46.0678,8.65519,delena,118694.16971481686
2015-06-01,7.0,47.4553,9.62412,gppswiss15,9736.415200462743
2015-06-02,54.0,47.3672,8.22686,choiceviner,737441.8559385075
2015-06-03,26.0,45.8002,9.08382,shawnformmva,157073.16545191675
2015-06-04,41.0,46.8131,8.22414,shawnformmva,593020.9484785228
2015-06-05,114.0,45.98,8.79948,pmcampzue,207927.1231674185
2015-06-06,7.0,47.5596,7.583139999999999,juvefcb,872783.3981554678
2015-06-07,8.0,46.195,6.20276,frabel,4987395.87327525
2015-06-08,52.0,47.5067,9.73668,bc2,664645.5065765687
2015-06-09,39.0,46.2048,6.14319,enic_naric,47784.1245615298
2015-06-10,22.0,47.306,8.05828,ecomzh,1259745.2527132728
2015-06-11,32.0,45.8056,8.94102,voilavoilaendirect,22350.25
